Date,precipitation_sum,rain_sum,temperature_max,temperature_min,precipitation(nxt),rain_sum(nxt),temperature_max(nxt),temperature_min(nxt),precipitation(prev),rain_sum(prev),temperature_max(prev),temperature_min(prev),Holiday
2022-06-02,9.6,9.6,28.9,23.7,8.6,8.6,29.5,24,2.8,2.8,29.2,22.6,No
2022-06-03,8.6,8.6,29.5,24,5.3,5.3,30.4,23.2,9.6,9.6,28.9,23.7,No
2022-06-04,5.3,5.3,30.4,23.2,9.4,9.4,30.1,25.1,8.6,8.6,29.5,24,No
2022-06-05,9.4,9.4,30.1,25.1,10.4,10.4,29.9,23.7,5.3,5.3,30.4,23.2,No
2022-06-06,10.4,10.4,29.9,23.7,14,14,28.6,22.9,9.4,9.4,30.1,25.1,No
2022-06-07,14,14,28.6,22.9,20.7,20.7,29.2,23.2,10.4,10.4,29.9,23.7,No
2022-06-08,20.7,20.7,29.2,23.2,5.9,5.9,29.7,23.6,14,14,28.6,22.9,No
2022-06-09,5.9,5.9,29.7,23.6,14.5,14.5,28.4,23.9,20.7,20.7,29.2,23.2,No
2022-06-10,14.5,14.5,28.4,23.9,9.7,9.7,28.5,22.7,5.9,5.9,29.7,23.6,No
2022-06-11,9.7,9.7,28.5,22.7,16.9,16.9,27.8,23.3,14.5,14.5,28.4,23.9,No
2022-06-12,16.9,16.9,27.8,23.3,4.8,4.8,28.8,22.6,9.7,9.7,28.5,22.7,No
2022-06-13,4.8,4.8,28.8,22.6,6.6,6.6,29.5,23.2,16.9,16.9,27.8,23.3,No
2022-06-14,6.6,6.6,29.5,23.2,29.2,29.2,28.6,23.5,4.8,4.8,28.8,22.6,No
2022-06-15,29.2,29.2,28.6,23.5,39.6,39.6,29,22.1,6.6,6.6,29.5,23.2,No
2022-06-16,39.6,39.6,29,22.1,21.1,21.1,29,22.8,29.2,29.2,28.6,23.5,No
2022-06-17,21.1,21.1,29,22.8,21.4,21.4,27.3,23.4,39.6,39.6,29,22.1,No
2022-06-18,21.4,21.4,27.3,23.4,7.3,7.3,29.6,23,21.1,21.1,29,22.8,No
2022-06-19,7.3,7.3,29.6,23,7.8,7.8,28.6,23.8,21.4,21.4,27.3,23.4,No
2022-06-20,7.8,7.8,28.6,23.8,10.7,10.7,27.7,23,7.3,7.3,29.6,23,No
2022-06-21,10.7,10.7,27.7,23,10.3,10.3,28.9,22.9,7.8,7.8,28.6,23.8,No
2022-06-22,10.3,10.3,28.9,22.9,12.9,12.9,28.1,22.6,10.7,10.7,27.7,23,No
2022-06-23,12.9,12.9,28.1,22.6,33.5,33.5,28,23.2,10.3,10.3,28.9,22.9,No
2022-06-24,33.5,33.5,28,23.2,23.6,23.6,26.3,23.1,12.9,12.9,28.1,22.6,No
2022-06-25,23.6,23.6,26.3,23.1,5.7,5.7,29.3,23.5,33.5,33.5,28,23.2,No
2022-06-26,5.7,5.7,29.3,23.5,5.3,5.3,28.9,23.4,23.6,23.6,26.3,23.1,No
2022-06-27,5.3,5.3,28.9,23.4,16.5,16.5,27.7,22.7,5.7,5.7,29.3,23.5,No
2022-06-28,16.5,16.5,27.7,22.7,2.6,2.6,27.9,23.3,5.3,5.3,28.9,23.4,No
2022-06-29,2.6,2.6,27.9,23.3,15.7,15.7,26.6,23.8,16.5,16.5,27.7,22.7,No
2022-06-30,15.7,15.7,26.6,23.8,18.1,18.1,29,23.8,2.6,2.6,27.9,23.3,No
2022-07-01,18.1,18.1,29,23.8,9.4,9.4,29.2,23.5,15.7,15.7,26.6,23.8,No
2022-07-02,9.4,9.4,29.2,23.5,41.8,41.8,28.1,23.4,18.1,18.1,29,23.8,No
2022-07-03,41.8,41.8,28.1,23.4,19.1,19.1,28.3,23.5,9.4,9.4,29.2,23.5,No
2022-07-04,19.1,19.1,28.3,23.5,24.2,24.2,26.2,23.1,41.8,41.8,28.1,23.4,No
2022-07-05,24.2,24.2,26.2,23.1,17.3,17.3,27.1,22.6,19.1,19.1,28.3,23.5,No
2022-07-06,17.3,17.3,27.1,22.6,41.5,41.5,25.3,22.4,24.2,24.2,26.2,23.1,No
2022-07-07,41.5,41.5,25.3,22.4,9.1,9.1,27.8,22.6,17.3,17.3,27.1,22.6,No
2022-07-08,9.1,9.1,27.8,22.6,33.9,33.9,26.4,22.8,41.5,41.5,25.3,22.4,No
2022-07-09,33.9,33.9,26.4,22.8,7.8,7.8,28.3,22.8,9.1,9.1,27.8,22.6,No
2022-07-10,7.8,7.8,28.3,22.8,10.1,10.1,27.3,22.7,33.9,33.9,26.4,22.8,No
2022-07-11,10.1,10.1,27.3,22.7,11.5,11.5,26.7,22.1,7.8,7.8,28.3,22.8,No
2022-07-12,11.5,11.5,26.7,22.1,31.4,31.4,26.1,22.5,10.1,10.1,27.3,22.7,No
